date,name,tmdbId,entityType,nodePosition
2025-10-07,The Lord of the Rings: The Fellowship of the Ring,120,movie,left
2025-10-07,Chris Hemsworth,74568,actor,right
2025-10-08,Spider-Man,557,movie,left
2025-10-08,The Sixth Sense,745,movie,right
2025-10-09,Jack Black,70851,actor,left
2025-10-09,Diane Lane,2882,actor,right
2025-10-10,Jude Law,9642,actor,left
2025-10-10,Amanda Seyfried,71070,actor,right
2025-10-11,The Fate of the Furious,337339,movie,left
2025-10-11,Once Upon a Time... in Hollywood,466272,movie,right
2025-10-12,Ben Stiller,7399,actor,left
2025-10-12,Batman v Superman: Dawn of Justice,209112,movie,right
2025-10-13,Viola Davis,19492,actor,left
2025-10-13,Independence Day,602,movie,right
2025-10-14,Quentin Tarantino,138,actor,left
2025-10-14,Samuel L. Jackson,2231,actor,right
2025-10-15,Jackie Sandler,60959,actor,left
2025-10-15,Deadpool & Wolverine,533535,movie,right
2025-10-16,Ralph Fiennes,5469,actor,left
2025-10-16,John Cena,56446,actor,right
2025-10-17,Gary Oldman,64,actor,left
2025-10-17,American Sniper,190859,movie,right
2025-10-18,Steve Carell,4495,actor,left
2025-10-18,Anthony Hopkins,4173,actor,right
2025-10-19,Mckenna Grace,1172108,actor,left
2025-10-19,Benedict Cumberbatch,71580,actor,right
2025-10-20,Jennifer Lawrence,72129,actor,left
2025-10-20,Jeff Goldblum,4785,actor,right
2025-10-21,Anne Hathaway,1813,actor,left
2025-10-21,Christian Bale,3894,actor,right
2025-10-22,Halle Berry,4587,actor,left
2025-10-22,Arnold Schwarzenegger,1100,actor,right
2025-10-23,Aubrey Plaza,119592,actor,left
2025-10-23,Ted,72105,movie,right
2025-10-24,Solo: A Star Wars Story,348350,movie,left
2025-10-24,Jackie Chan,18897,actor,right
